series_id,season_id,stage,event_id,event_start_epoch
AAAB,1,4,5393449,1771960800
AAAB,1,4,5393278,1771978800
AAAB,1,4,5393450,1771986000
AAAB,1,4,5393478,1772007600
AAAB,1,4,5393412,1772014800
AAAB,1,4,5393350,1772022000
AAAB,1,4,5393280,1772029200
AAAB,1,4,5393297,1772040000
AAAB,1,4,5393380,1772043600
AAAB,1,4,5393351,1772047200
AAAB,1,4,5393416,1772065200
AAAB,1,4,5393352,1772072400
AAAB,1,4,5393379,1772094000
AAAB,1,4,5393320,1772101200
AAAB,1,4,5393480,1772108400
AAAB,1,4,5393415,1772115600
AAAB,1,4,5393435,1772126400
AAAB,1,4,5393281,1772130000
AAAB,1,4,5393481,1772133600
AAAB,1,4,5393322,1772151600
AAAB,1,4,5393482,1772158800
AAAB,1,4,5393282,1772180400
AAAB,1,4,5393452,1772187600
AAAB,1,4,5393381,1772194800
AAAB,1,4,5393321,1772202000
AAAB,1,4,5393454,1772212800
AAAB,1,4,5393418,1772216400
AAAB,1,4,5393265,1772220000
AAAB,1,4,5393455,1772238000
AAAB,1,4,5393382,1772245200
AAAB,1,4,5393424,1772266800
AAAB,1,4,5393354,1772274000
AAAB,1,4,5393285,1772281200
AAAB,1,4,5393453,1772288400
AAAB,1,4,5393355,1772299200
AAAB,1,4,5393324,1772302800
AAAB,1,4,5393396,1772306400
AAAB,1,4,5393353,1772324400
AAAB,1,4,5393283,1772331600
AAAB,1,4,5393325,1772353200
AAAB,1,4,5393485,1772360400
AAAB,1,4,5393427,1772367600
AAAB,1,4,5393356,1772374800
AAAB,1,4,5393483,1772385600
AAAB,1,4,5393456,1772389200
AAAB,1,4,5393302,1772392800
AAAB,1,4,5393484,1772410800
AAAB,1,4,5393425,1772418000
AAAB,2,1,5476162,1772439600
AAAB,2,1,5476484,1772446800
AAAB,2,1,5476219,1772454000
AAAB,2,1,5476310,1772461200
AAAB,2,1,5476485,1772472000
AAAB,2,1,5476216,1772475600
AAAB,2,1,5476386,1772479200
AAAB,2,1,5476483,1772497200
AAAB,2,1,5476218,1772504400
AAAB,2,1,5476215,1772526000
AAAB,2,1,5476273,1772533200
AAAB,2,1,5476362,1772540400
AAAB,2,1,5476477,1772547600
AAAB,2,1,5476271,1772558400
AAAB,2,1,5476314,1772562000
AAAB,2,1,5476197,1772565600
AAAB,2,1,5476272,1772583600
AAAB,2,1,5476361,1772590800
AAAB,2,1,5476313,1772612400
AAAB,2,1,5476445,1772619600
AAAB,2,1,5476206,1772626800
AAAB,2,1,5476269,1772634000
AAAB,2,1,5476442,1772644800
AAAB,2,1,5476476,1772648400
AAAB,2,1,5476379,1772652000
AAAB,2,1,5476443,1772670000
AAAB,2,1,5476205,1772677200
AAAB,2,1,5476475,1772698800
AAAB,2,1,5476252,1772706000
AAAB,2,1,5476311,1772713200
AAAB,2,1,5476450,1772720400
AAAB,2,1,5476421,1772731200
AAAB,2,1,5476262,1772734800
AAAB,2,1,5476312,1772738400
AAAB,2,1,5476251,1772756400
AAAB,2,1,5476306,1772763600
AAAB,2,1,5476261,1772785200
AAAB,2,1,5476364,1772792400
AAAB,2,1,5476480,1772799600
AAAB,2,1,5476250,1772806800
AAAB,2,1,5476194,1772817600
AAAB,2,1,5476448,1772821200
AAAB,2,1,5476478,1772824800
AAAB,2,1,5476354,1772842800
AAAB,2,1,5476479,1772850000
AAAB,2,1,5476403,1772871600
AAAB,2,1,5476210,1772878800
AAAB,2,1,5476257,1772886000
AAAB,2,1,5476353,1772893200
AAAB,2,1,5476382,1772904000
AAAB,2,1,5476255,1772907600
AAAB,2,1,5476263,1772911200
AAAB,2,1,5476208,1772929200
AAAB,2,1,5476264,1772936400
AAAB,2,1,5476253,1772958000
AAAB,2,1,5476308,1772965200
AAAB,2,1,5476402,1772972400
AAAB,2,1,5476200,1772979600
AAAB,2,1,5476309,1772990400
AAAB,2,1,5476349,1772994000
AAAB,2,1,5476238,1772997600
AAAB,2,1,5476307,1773015600
AAAB,2,1,5476401,1773022800
